vibration_mm_s,temperature_c,pressure_bar,rotational_speed_rpm,oil_viscosity_cst,current_draw_amps,humidity_pct,age_days,maintenance_lag_days,failure_within_7days
1.977,67.67,4.821,1400.9,41.68,9.35,58.7,77,153,0
3.912,77.29,3.653,1633.0,47.26,11.651,41.1,1363,268,1
2.824,56.42,5.003,1332.4,43.67,10.549,50.2,409,277,0
1.491,81.03,4.215,1419.3,49.63,12.715,78.8,394,339,0
3.234,77.98,4.321,1667.7,38.51,12.668,60.4,220,362,0
4.198,81.39,5.819,1456.5,56.84,12.962,69.1,744,22,0
3.326,85.58,4.651,1368.5,49.28,12.575,52.5,433,13,0
1.285,78.68,4.307,1521.9,36.58,10.786,56.6,806,93,0
2.113,76.48,3.397,1452.5,41.45,11.478,51.4,1479,342,0
3.514,66.19,5.195,1416.4,49.08,13.841,65.1,1678,51,1
1.934,67.88,3.827,1390.4,50.88,14.136,72.6,1787,338,0
2.855,86.87,3.998,1776.8,38.64,9.706,55.4,1164,40,0
3.12,89.36,4.334,1474.8,48.57,8.938,54.0,988,163,0
1.758,72.62,5.208,1307.4,35.26,10.546,47.0,1522,5,0
2.452,75.46,4.887,1649.4,44.55,14.09,38.9,654,137,0
-0.093,65.95,4.421,1561.1,50.56,14.43,77.0,1665,98,0
1.68,86.73,4.654,1423.4,42.24,10.151,45.8,817,340,0
2.298,81.65,4.2,1406.7,37.47,12.615,70.0,1554,223,0
1.502,94.41,4.57,1567.3,45.73,15.669,65.8,755,315,0
3.806,66.22,4.537,1475.3,41.98,12.831,69.5,676,29,1
1.356,71.22,4.984,1307.4,48.15,14.843,76.8,832,224,0
2.148,77.31,4.984,1678.7,40.57,13.997,61.2,1120,325,0
2.605,81.46,4.747,1456.6,41.14,10.18,74.9,28,260,0
3.653,72.84,4.319,1649.6,34.89,11.62,38.4,988,246,0
1.351,66.27,4.871,1627.8,45.85,12.07,61.3,1254,78,0
3.431,83.81,4.454,1399.9,44.2,12.208,68.6,416,184,0
2.508,82.21,3.959,1603.3,39.06,13.833,43.6,1480,298,0
1.715,65.84,4.298,1434.9,45.97,12.817,67.0,25,179,0
2.87,88.55,4.542,1313.3,50.14,6.128,68.9,1711,76,0
2.659,86.7,4.955,1457.5,43.92,9.374,71.6,1428,261,0
2.02,76.34,4.408,1539.8,46.34,7.625,45.6,673,228,0
2.556,75.8,3.895,1453.7,46.37,12.351,64.1,542,1,0
2.192,80.54,4.528,1469.3,38.98,12.481,45.2,165,16,0
2.591,66.38,4.557,1614.4,55.28,12.566,67.0,208,343,0
3.03,75.3,4.593,1510.6,42.65,10.082,53.1,949,11,0
3.769,53.48,4.96,1415.7,48.28,13.348,59.9,985,181,0
1.51,83.76,5.009,1570.2,48.85,13.433,50.8,614,333,0
4.206,59.39,4.203,1519.8,44.3,9.49,38.1,373,6,0
0.938,90.03,4.192,1247.8,48.03,9.068,38.9,618,245,0
2.379,71.7,3.98,1542.8,46.23,12.0,33.9,69,156,0
2.971,72.88,4.849,1539.2,37.91,15.584,60.9,1544,173,0
2.725,68.72,5.224,1502.0,43.34,15.399,72.4,1659,328,0
2.002,72.12,4.342,1589.2,41.94,13.127,31.0,1377,333,0
2.334,89.19,4.379,1432.8,42.69,10.54,33.3,101,180,0
2.106,50.12,5.233,1533.6,38.48,13.774,52.9,1,280,0
2.029,87.77,4.753,1343.3,50.63,11.095,66.9,351,308,0
3.18,78.38,4.718,1540.7,53.01,10.465,37.9,7,236,0
2.786,62.93,3.905,1695.3,49.89,7.712,43.6,318,156,0
1.946,64.25,4.839,1400.5,51.35,12.205,41.6,623,250,0
3.22,91.76,4.035,1424.0,43.28,10.74,50.0,509,220,0
2.746,65.54,3.933,1429.0,41.82,12.193,41.2,186,337,0
3.15,63.47,4.327,1513.0,41.11,7.401,47.6,728,222,0
3.004,86.37,4.207,1393.7,48.22,12.34,66.4,462,210,0
1.837,78.39,4.389,1542.1,46.14,7.138,60.6,343,336,0
2.052,65.62,3.78,1584.7,44.61,14.176,34.1,635,133,0
3.098,77.17,4.979,1553.4,51.48,13.044,61.9,713,331,0
2.988,64.74,5.064,1323.2,47.02,11.443,53.9,1032,258,0
2.483,86.01,3.526,1599.5,40.81,13.125,76.7,576,34,0
2.594,85.61,4.989,1593.7,41.6,10.044,44.5,136,182,0
3.522,80.32,4.095,1583.0,48.41,12.145,66.3,383,302,1
2.027,78.62,4.928,1537.3,50.21,13.59,66.5,186,160,0
2.938,92.61,4.466,1522.0,47.76,5.811,41.1,639,92,0
2.338,75.0,4.514,1603.2,54.48,11.106,75.2,928,196,0
2.326,63.18,4.407,1692.4,53.18,11.955,54.6,1396,314,0
3.379,79.49,5.106,1404.7,47.21,11.607,63.9,964,205,0
3.16,95.86,3.88,1607.8,40.81,14.914,37.3,561,351,1
3.151,64.85,4.804,1491.4,38.45,9.752,42.9,1190,17,0
3.544,71.39,5.051,1487.0,43.06,10.758,59.3,898,233,0
2.517,79.16,4.858,1346.3,48.77,8.168,46.0,639,332,0
3.046,74.46,5.662,1471.5,54.13,15.021,55.0,321,65,0
2.252,65.18,4.236,1400.3,47.09,11.507,48.7,1713,243,0
2.759,86.22,4.979,1453.6,50.84,11.123,62.0,1739,275,0
2.396,98.2,4.447,1390.2,43.77,11.895,54.4,1181,198,0
2.578,76.96,5.117,1455.1,48.11,13.272,30.2,858,17,0
2.976,65.96,4.496,1459.4,49.12,12.695,62.5,1755,71,0
1.845,59.51,4.306,1509.7,35.1,17.296,51.1,998,154,0
4.174,77.58,5.153,1338.5,42.93,12.908,47.1,285,169,0
1.695,86.04,4.254,1355.4,49.75,11.07,34.7,1052,321,0
1.529,79.75,3.794,1536.2,46.37,10.877,41.0,351,354,0
3.426,74.98,4.242,1420.3,39.02,11.214,41.2,83,281,0
3.133,69.11,4.81,1607.5,32.85,8.996,76.8,1648,150,0
2.999,64.08,5.196,1522.5,43.17,12.08,51.6,666,260,0
3.003,83.35,4.556,1560.7,44.64,13.567,32.1,1394,79,0
2.49,84.14,5.159,1641.1,40.58,10.773,36.9,541,105,0
1.782,59.54,3.821,1469.0,45.72,10.385,34.0,1419,10,0
2.561,90.9,4.278,1442.6,47.53,15.032,59.4,480,207,0
1.958,80.74,4.356,1587.2,48.35,9.147,39.3,213,129,0
3.28,89.0,4.443,1551.0,33.22,7.864,54.9,1638,170,0
2.382,61.58,4.542,1481.3,38.43,9.694,48.5,930,32,0
1.84,61.34,4.845,1639.1,43.48,8.919,70.2,360,23,0
2.243,73.51,4.278,1478.8,47.86,12.772,46.0,214,196,0
2.83,80.03,4.57,1503.3,47.45,11.279,52.9,304,45,0
2.049,92.96,4.477,1502.1,47.36,11.561,66.1,1179,273,0
1.842,82.06,4.037,1406.5,43.08,14.306,51.7,1404,230,0
2.695,72.57,4.443,1507.8,43.36,10.617,69.7,200,132,0
2.696,64.74,4.428,1639.7,41.36,13.55,63.1,1704,263,0
2.094,87.3,4.417,1544.5,48.84,15.023,50.5,238,84,0
2.123,65.35,4.516,1503.1,40.4,11.089,55.2,671,312,0
2.686,91.28,4.538,1483.8,49.25,13.474,78.4,1729,4,0
1.342,72.16,4.284,1533.1,46.04,11.516,63.1,1191,268,0
1.374,90.91,5.136,1575.0,44.77,13.848,75.2,1250,338,0
1.925,81.79,3.915,1560.9,41.72,8.857,38.9,879,220,0
2.329,73.63,4.14,1466.8,38.22,8.709,54.2,251,193,0
2.749,69.81,5.89,1532.5,41.76,11.217,75.4,1304,345,0
3.68,71.59,3.981,1548.0,43.35,10.222,46.1,476,68,0
3.186,79.28,3.823,1399.3,33.15,10.967,78.4,498,287,0
2.372,75.77,4.867,1516.8,44.01,11.561,34.9,978,357,0
2.485,69.06,3.461,1283.9,49.62,13.44,75.1,1757,175,0
1.698,73.34,4.382,1548.3,47.84,11.185,52.3,1559,324,0
2.485,75.79,5.573,1566.0,42.52,10.352,33.7,997,238,0
2.269,53.71,3.728,1574.8,45.23,11.297,74.0,701,178,0
2.758,79.58,3.509,1460.5,42.22,10.462,42.6,1435,255,0
1.838,65.2,3.75,1530.9,45.74,10.132,31.1,784,210,0
2.915,63.47,4.949,1642.4,52.7,8.774,36.8,429,226,0
3.726,58.13,5.062,1641.4,49.84,12.139,63.0,539,71,0
2.413,57.06,4.244,1497.1,47.6,10.863,78.9,901,64,0
2.821,61.45,4.842,1513.9,42.54,13.933,35.6,1467,165,0
3.052,67.91,5.195,1611.1,48.75,9.105,53.1,968,213,0
2.179,94.53,5.394,1349.9,36.57,10.916,39.0,210,16,0
2.679,69.74,4.377,1467.7,43.74,15.626,67.3,1571,335,0
2.51,76.78,3.349,1633.6,47.92,10.121,35.9,1734,172,0
2.578,79.0,4.09,1597.5,48.7,11.527,42.0,491,128,0
1.882,76.31,4.287,1536.9,48.35,9.568,39.8,471,2,0
2.52,74.23,4.371,1349.4,46.47,9.303,57.6,1710,247,0
2.898,63.05,4.406,1495.0,44.02,15.095,73.7,1754,69,0
3.661,89.51,5.059,1441.0,47.69,12.342,55.6,568,51,1
3.267,93.07,5.137,1533.1,40.24,12.267,32.9,664,258,0
4.223,58.17,4.414,1419.1,40.78,8.607,58.2,1487,238,1
1.886,64.76,5.049,1397.4,45.31,12.717,69.9,550,93,0
3.198,72.2,4.679,1293.5,45.87,14.315,36.6,1501,46,0
2.647,65.35,4.532,1622.2,35.87,14.299,33.6,198,74,0
4.252,80.06,4.953,1460.0,47.28,13.337,39.4,521,90,0
1.853,67.72,4.536,1515.7,48.86,9.741,67.3,1523,85,0
1.828,96.65,5.529,1499.8,44.61,12.626,59.6,1535,5,1
2.02,86.91,3.781,1393.3,56.87,13.335,57.0,1714,229,0
0.801,77.13,4.242,1374.1,41.59,8.411,42.5,1349,350,0
2.079,85.27,4.437,1399.5,43.19,9.757,46.6,688,316,0
1.893,86.06,4.72,1427.7,43.02,13.776,78.3,467,42,0
2.62,69.36,5.134,1536.7,44.62,13.752,42.0,1797,311,0
2.773,66.84,4.488,1420.4,43.36,8.903,75.1,596,197,0
4.001,75.78,3.789,1674.6,37.97,13.59,59.0,139,302,1
3.26,83.62,4.921,1602.7,42.27,12.191,36.2,1015,181,0
2.038,76.39,4.877,1580.8,44.51,13.562,53.4,242,168,0
1.781,59.23,3.529,1488.0,51.14,10.731,77.4,316,202,0
